location,label,quantity,coordinate,value,definition,source_file,changed_vs_frozen
tab:exp1-summary row 'Median |tau_B->-I|',tab:exp1-summary,median abs tau_nonint,negEO,0.028,median over the 36 primary cells,results/cell_results.csv,no
Sec. 4.2.1 body,,unresolved and negligible,dAUC,11/25,"unresolved, and the 95% interval lies entirely within [-0.010, +0.010]",results/cell_results.csv,no
Sec. 4.2.1 body,,unresolved and inconclusive,dAUC,14/25,"unresolved, and the 95% interval reaches outside [-0.010, +0.010]",results/cell_results.csv,no
Sec. 4.2.1 body,,unresolved and negligible,negDP,7/28,"unresolved, and the 95% interval lies entirely within [-0.010, +0.010]",results/cell_results.csv,no
Sec. 4.2.1 body,,unresolved and inconclusive,negDP,21/28,"unresolved, and the 95% interval reaches outside [-0.010, +0.010]",results/cell_results.csv,no
Sec. 4.2.1 body,,unresolved and negligible,negEO,6/27,"unresolved, and the 95% interval lies entirely within [-0.010, +0.010]",results/cell_results.csv,no
Sec. 4.2.1 body,,unresolved and inconclusive,negEO,21/27,"unresolved, and the 95% interval reaches outside [-0.010, +0.010]",results/cell_results.csv,no
"tab:aggregate_robustness (reported, B_rep1) row 'cell-weighted'",tab:aggregate_robustness,"package larger, cell-weighted",dAUC,75.0%,larger cells / 36,results/cell_results.csv,yes
"tab:aggregate_robustness (reported, B_rep1) row 'method-balanced'",tab:aggregate_robustness,"package larger, method-balanced",dAUC,78.6%,per-method share averaged over the 11 methods,results/cell_results.csv,yes
"tab:aggregate_robustness (reported, B_rep1) row 'LOMO'",tab:aggregate_robustness,"package larger, LOMO range",dAUC,72.7-78.8%,cell-weighted share with each method dropped in turn,results/cell_results.csv,yes
"tab:aggregate_robustness (reported, B_rep1) row 'cell-weighted'",tab:aggregate_robustness,"package larger, cell-weighted",negDP,72.2%,larger cells / 36,results/cell_results.csv,yes
"tab:aggregate_robustness (reported, B_rep1) row 'method-balanced'",tab:aggregate_robustness,"package larger, method-balanced",negDP,79.0%,per-method share averaged over the 11 methods,results/cell_results.csv,yes
"tab:aggregate_robustness (reported, B_rep1) row 'LOMO'",tab:aggregate_robustness,"package larger, LOMO range",negDP,69.7-79.3%,cell-weighted share with each method dropped in turn,results/cell_results.csv,yes
"tab:aggregate_robustness (reported, B_rep1) row 'cell-weighted'",tab:aggregate_robustness,"package larger, cell-weighted",negEO,80.6%,larger cells / 36,results/cell_results.csv,yes
"tab:aggregate_robustness (reported, B_rep1) row 'method-balanced'",tab:aggregate_robustness,"package larger, method-balanced",negEO,85.2%,per-method share averaged over the 11 methods,results/cell_results.csv,yes
"tab:aggregate_robustness (reported, B_rep1) row 'LOMO'",tab:aggregate_robustness,"package larger, LOMO range",negEO,78.8-86.2%,cell-weighted share with each method dropped in turn,results/cell_results.csv,yes
"tab:aggregate_robustness (sensitivity, B_H1000) row 'cell-weighted'",tab:aggregate_robustness,"package larger, cell-weighted",dAUC,55.6%,larger cells / 36,results_v2/bundle_B_H1000/cell_results.csv,new
"tab:aggregate_robustness (sensitivity, B_H1000) row 'method-balanced'",tab:aggregate_robustness,"package larger, method-balanced",dAUC,62.1%,per-method share averaged over the 11 methods,results_v2/bundle_B_H1000/cell_results.csv,new
"tab:aggregate_robustness (sensitivity, B_H1000) row 'LOMO'",tab:aggregate_robustness,"package larger, LOMO range",dAUC,51.5-60.6%,cell-weighted share with each method dropped in turn,results_v2/bundle_B_H1000/cell_results.csv,new
"tab:aggregate_robustness (sensitivity, B_H1000) row 'cell-weighted'",tab:aggregate_robustness,"package larger, cell-weighted",negDP,52.8%,larger cells / 36,results_v2/bundle_B_H1000/cell_results.csv,new
"tab:aggregate_robustness (sensitivity, B_H1000) row 'method-balanced'",tab:aggregate_robustness,"package larger, method-balanced",negDP,52.7%,per-method share averaged over the 11 methods,results_v2/bundle_B_H1000/cell_results.csv,new
"tab:aggregate_robustness (sensitivity, B_H1000) row 'LOMO'",tab:aggregate_robustness,"package larger, LOMO range",negDP,48.5-58.1%,cell-weighted share with each method dropped in turn,results_v2/bundle_B_H1000/cell_results.csv,new
"tab:aggregate_robustness (sensitivity, B_H1000) row 'cell-weighted'",tab:aggregate_robustness,"package larger, cell-weighted",negEO,55.6%,larger cells / 36,results_v2/bundle_B_H1000/cell_results.csv,new
"tab:aggregate_robustness (sensitivity, B_H1000) row 'method-balanced'",tab:aggregate_robustness,"package larger, method-balanced",negEO,55.7%,per-method share averaged over the 11 methods,results_v2/bundle_B_H1000/cell_results.csv,new
"tab:aggregate_robustness (sensitivity, B_H1000) row 'LOMO'",tab:aggregate_robustness,"package larger, LOMO range",negEO,51.5-61.3%,cell-weighted share with each method dropped in turn,results_v2/bundle_B_H1000/cell_results.csv,new
tab:evaluation_sets row 'primary controlled cells',tab:evaluation_sets,cell count,,36,count of matched cells or pairs in that evaluation set,"results/coverage.csv, 3a/3b/3c",no
tab:evaluation_sets row 'configuration-robustness cells',tab:evaluation_sets,cell count,,26,count of matched cells or pairs in that evaluation set,"results/coverage.csv, 3a/3b/3c",no
tab:evaluation_sets row 'selector pairs',tab:evaluation_sets,cell count,,65,count of matched cells or pairs in that evaluation set,"results/coverage.csv, 3a/3b/3c",no
"tab:evaluation_sets row 'published-horizon, systematic'",tab:evaluation_sets,cell count,,16,count of matched cells or pairs in that evaluation set,"results/coverage.csv, 3a/3b/3c",yes
"tab:evaluation_sets row 'published-horizon, targeted'",tab:evaluation_sets,cell count,,3,count of matched cells or pairs in that evaluation set,"results/coverage.csv, 3a/3b/3c",no
"tab:evaluation_sets row 're-execution only (SFG/German, SFG/Credit)'",tab:evaluation_sets,cell count,,2,count of matched cells or pairs in that evaluation set,"results/coverage.csv, 3a/3b/3c",new
tab:evaluation_sets row 'published-procedure pairs',tab:evaluation_sets,cell count,,4,count of matched cells or pairs in that evaluation set,"results/coverage.csv, 3a/3b/3c",no
tab:evaluation_sets row 'FnRGNN classification cells',tab:evaluation_sets,cell count,,3,count of matched cells or pairs in that evaluation set,"results/coverage.csv, 3a/3b/3c",no
tab:evaluation_sets row 'FnRGNN regression cells',tab:evaluation_sets,cell count,,3,count of matched cells or pairs in that evaluation set,"results/coverage.csv, 3a/3b/3c",no
tab:baseline_spec row 'german' col 'B horizon',tab:baseline_spec,B horizon,,1000,"resolved published horizon where one exists, else 200",results_v2/baselines/B_rep1/,yes
tab:baseline_spec row 'german' col 'B test AUC',tab:baseline_spec,B test AUC,,0.6543,"B at the validation-BCE checkpoint, mean over 30 units",results_v2/baselines/B_rep1/,yes
tab:baseline_spec row 'german' col 'distinct B draws',tab:baseline_spec,distinct B draws,,1,"one B per (dataset, split, run), shared by every method; was one per method",results_v2/baselines/B_rep1/,yes
tab:baseline_spec row 'bail' col 'B horizon',tab:baseline_spec,B horizon,,200,"resolved published horizon where one exists, else 200",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'bail' col 'B test AUC',tab:baseline_spec,B test AUC,,0.7734,"B at the validation-BCE checkpoint, mean over 30 units",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'bail' col 'distinct B draws',tab:baseline_spec,distinct B draws,,1,"one B per (dataset, split, run), shared by every method; was one per method",results_v2/baselines/B_rep1/,yes
tab:baseline_spec row 'credit' col 'B horizon',tab:baseline_spec,B horizon,,200,"resolved published horizon where one exists, else 200",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'credit' col 'B test AUC',tab:baseline_spec,B test AUC,,0.7177,"B at the validation-BCE checkpoint, mean over 30 units",results_v2/baselines/B_rep1/,yes
tab:baseline_spec row 'credit' col 'distinct B draws',tab:baseline_spec,distinct B draws,,1,"one B per (dataset, split, run), shared by every method; was one per method",results_v2/baselines/B_rep1/,yes
tab:baseline_spec row 'income' col 'B horizon',tab:baseline_spec,B horizon,,200,"resolved published horizon where one exists, else 200",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'income' col 'B test AUC',tab:baseline_spec,B test AUC,,0.6520,"B at the validation-BCE checkpoint, mean over 30 units",results_v2/baselines/B_rep1/,yes
tab:baseline_spec row 'income' col 'distinct B draws',tab:baseline_spec,distinct B draws,,1,"one B per (dataset, split, run), shared by every method; was one per method",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_z' col 'B horizon',tab:baseline_spec,B horizon,,200,"resolved published horizon where one exists, else 200",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_z' col 'B test AUC',tab:baseline_spec,B test AUC,,0.7038,"B at the validation-BCE checkpoint, mean over 30 units",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_z' col 'distinct B draws',tab:baseline_spec,distinct B draws,,1,"one B per (dataset, split, run), shared by every method; was one per method",results_v2/baselines/B_rep1/,yes
tab:baseline_spec row 'pokec_n' col 'B horizon',tab:baseline_spec,B horizon,,200,"resolved published horizon where one exists, else 200",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_n' col 'B test AUC',tab:baseline_spec,B test AUC,,0.7112,"B at the validation-BCE checkpoint, mean over 30 units",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_n' col 'distinct B draws',tab:baseline_spec,distinct B draws,,1,"one B per (dataset, split, run), shared by every method; was one per method",results_v2/baselines/B_rep1/,yes
tab:baseline_spec row 'pokec_z_g' col 'B horizon',tab:baseline_spec,B horizon,,200,"resolved published horizon where one exists, else 200",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_z_g' col 'B test AUC',tab:baseline_spec,B test AUC,,0.7038,"B at the validation-BCE checkpoint, mean over 30 units",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_z_g' col 'distinct B draws',tab:baseline_spec,distinct B draws,,1,"one B per (dataset, split, run), shared by every method; was one per method",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_n_g' col 'B horizon',tab:baseline_spec,B horizon,,200,"resolved published horizon where one exists, else 200",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_n_g' col 'B test AUC',tab:baseline_spec,B test AUC,,0.7110,"B at the validation-BCE checkpoint, mean over 30 units",results_v2/baselines/B_rep1/,no
tab:baseline_spec row 'pokec_n_g' col 'distinct B draws',tab:baseline_spec,distinct B draws,,1,"one B per (dataset, split, run), shared by every method; was one per method",results_v2/baselines/B_rep1/,no
tab:native_horizon_selector row 'FairGB/bail/default',tab:native_horizon_selector,evaluation role,,targeted,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairGB/credit/default',tab:native_horizon_selector,evaluation role,,targeted,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/bail/GCN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/credit/GCN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/german/GCN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/pokec_n/GCN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/pokec_z/GCN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/bail/GIN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/credit/GIN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/german/GIN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/pokec_n/GIN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/pokec_z/GIN',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/bail/SAGE',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/credit/SAGE',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/german/SAGE',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/pokec_n/SAGE',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairSIN/pokec_z/SAGE',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'FairVGNN/bail/default',tab:native_horizon_selector,evaluation role,,targeted,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'SFG/bail/default',tab:native_horizon_selector,evaluation role,,systematic,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,no
tab:native_horizon_selector row 'SFG/credit/default',tab:native_horizon_selector,evaluation role,,re_execution,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,yes
tab:native_horizon_selector row 'SFG/german/default',tab:native_horizon_selector,evaluation role,,re_execution,systematic / targeted / re_execution; re_execution = the two protocols resolve to the same configuration and horizon,results/3b_protocol_native_horizon_selector.csv,yes
tab:native_horizon_selector total,tab:native_horizon_selector,published-horizon comparisons,,19,"systematic + targeted, excluding the two re-execution rows",results/3b_protocol_native_horizon_selector.csv,yes
Reproducibility Statement,,re-execution intervals excluding zero,,0/45 and 0/6,"paired hierarchical bootstrap, 10,000 replicates, seed 20260914","results/phase0_audit/noise_floor_delta.csv, c8_reexecution_delta.csv",new
Reproducibility Statement,,"re-execution noise floor, cross-cell max |Delta|",dAUC,0.01174,largest cell-level mean |Delta| over the 15 pairings,results/phase0_audit/noise_floor_delta.csv,new
Reproducibility Statement,,"re-execution noise floor, cross-cell max |Delta|",negDP,0.06677,largest cell-level mean |Delta| over the 15 pairings,results/phase0_audit/noise_floor_delta.csv,new
Reproducibility Statement,,"re-execution noise floor, cross-cell max |Delta|",negEO,0.04599,largest cell-level mean |Delta| over the 15 pairings,results/phase0_audit/noise_floor_delta.csv,new
Appendix C (Seeds and compute environment),,seeds,,"{27, 28, 29, 30, 31}","seed = 27 + run_id, identical across splits; verified on all 3,900 store rows",results/per_unit_metrics.csv.gz,no
Appendix C (Seeds and compute environment),,compute,,>= 52 GPU-hours,"union of every interval the run logs date-stamp; a floor, not a total. 12 of the 36 primary cells have no timing artifact",results/phase0_audit/T11_compute_environment.md,yes
Appendix C (Seeds and compute environment),,hardware,,a single 48 GB NVIDIA GPU,the runs recorded no device name; 47.50 GiB capacity appears in an OOM traceback,harness/results/x30/logs/x30_FairSIN-GIN_pokec_z.log:22,yes
Sec. 4.3 body (native),,Delta_attr interval excludes zero,dAUC,3/19,"paired Delta_attr, 95% interval, same estimator as the configuration pairs",results/phase0_audit/c9_native_procedure.csv,yes
Sec. 4.3 body (native),,Delta_attr interval excludes zero,negDP,3/19,"paired Delta_attr, 95% interval, same estimator as the configuration pairs",results/phase0_audit/c9_native_procedure.csv,yes
Sec. 4.3 body (native),,Delta_attr interval excludes zero,negEO,2/19,"paired Delta_attr, 95% interval, same estimator as the configuration pairs",results/phase0_audit/c9_native_procedure.csv,yes
Sec. 4.3 body (procedure),,Delta_attr interval excludes zero,dAUC,2/4,"paired Delta_attr, 95% interval, same estimator as the configuration pairs",results/phase0_audit/c9_native_procedure.csv,no
Sec. 4.3 body (procedure),,Delta_attr interval excludes zero,negDP,2/4,"paired Delta_attr, 95% interval, same estimator as the configuration pairs",results/phase0_audit/c9_native_procedure.csv,no
Sec. 4.3 body (procedure),,Delta_attr interval excludes zero,negEO,2/4,"paired Delta_attr, 95% interval, same estimator as the configuration pairs",results/phase0_audit/c9_native_procedure.csv,no
tab:aggregate_robustness row 'single-operation subset (12 cells)',tab:aggregate_robustness,"package larger, subset",dAUC,10/12,"|tau_{B->-I}| > |tau_{-I->+I}|, counted on that subset; reported as a fraction because one cell moves a 9-cell share by 11 points",results/phase0_audit/c11_subsets.csv,new
tab:aggregate_robustness row 'single-operation subset (12 cells)',tab:aggregate_robustness,"package larger, subset",negDP,10/12,"|tau_{B->-I}| > |tau_{-I->+I}|, counted on that subset; reported as a fraction because one cell moves a 9-cell share by 11 points",results/phase0_audit/c11_subsets.csv,new
tab:aggregate_robustness row 'single-operation subset (12 cells)',tab:aggregate_robustness,"package larger, subset",negEO,11/12,"|tau_{B->-I}| > |tau_{-I->+I}|, counted on that subset; reported as a fraction because one cell moves a 9-cell share by 11 points",results/phase0_audit/c11_subsets.csv,new
tab:aggregate_robustness row 'single-operation subset without FairEdit (9 cells)',tab:aggregate_robustness,"package larger, subset",dAUC,7/9,"|tau_{B->-I}| > |tau_{-I->+I}|, counted on that subset; reported as a fraction because one cell moves a 9-cell share by 11 points",results/phase0_audit/c11_subsets.csv,new
tab:aggregate_robustness row 'single-operation subset without FairEdit (9 cells)',tab:aggregate_robustness,"package larger, subset",negDP,7/9,"|tau_{B->-I}| > |tau_{-I->+I}|, counted on that subset; reported as a fraction because one cell moves a 9-cell share by 11 points",results/phase0_audit/c11_subsets.csv,new
tab:aggregate_robustness row 'single-operation subset without FairEdit (9 cells)',tab:aggregate_robustness,"package larger, subset",negEO,8/9,"|tau_{B->-I}| > |tau_{-I->+I}|, counted on that subset; reported as a fraction because one cell moves a 9-cell share by 11 points",results/phase0_audit/c11_subsets.csv,new
"Appendix, inert-cell sensitivity",tab:aggregate_robustness,"package larger, inert cells removed",dAUC,25/34,FairEdit/credit and FairEdit/bail removed: all three coordinates at or below the re-execution threshold,results/phase0_audit/c12_inert_excluded.csv,new
"Appendix, inert-cell sensitivity",tab:aggregate_robustness,"package larger, inert cells removed",negDP,24/34,FairEdit/credit and FairEdit/bail removed: all three coordinates at or below the re-execution threshold,results/phase0_audit/c12_inert_excluded.csv,new
"Appendix, inert-cell sensitivity",tab:aggregate_robustness,"package larger, inert cells removed",negEO,27/34,FairEdit/credit and FairEdit/bail removed: all three coordinates at or below the re-execution threshold,results/phase0_audit/c12_inert_excluded.csv,new
