method,dataset,primary_eligible,included,configuration,backbone,units_done,configuration_source,matched_construction_status,exclusion_reason,notes
FairSIN,pokec_n,yes,yes,GCN,GCN,30,experiment.sh ablation block,valid,,neutralisation only (no d='yes' row published)
FairSIN,pokec_n_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FairSIN,pokec_z,yes,yes,GCN,GCN,30,experiment.sh ablation block,valid,,neutralisation only (no d='yes' row published)
FairSIN,pokec_z_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FairVGNN,bail,yes,yes,default,GCN,30,upstream run_bail.sh,valid,,"primary GCN row; robustness: the other full rows (GCN-spmm, SAGE); native for the primary row only (the other rows' native runs were not run by decision)"
FairVGNN,credit,yes,yes,default,GCN,30,upstream run_credit.sh + fairvgnn_credit.py,valid,,"primary GCN row; robustness: the other full rows (GIN, SAGE); native for the primary row only (the other rows' native runs were not run by decision)"
FairVGNN,german,yes,yes,default,GCN,30,upstream run_german.sh,valid,,"primary GCN row; robustness: the other full rows (GCN-spmm, GIN, SAGE); native for the primary row only (the other rows' native runs were not run by decision)"
FairVGNN,income,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FairVGNN,nba,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FairVGNN,pokec_n,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FairVGNN,pokec_n_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FairVGNN,pokec_z,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FairVGNN,pokec_z_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FnRGNN,bail,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FnRGNN,credit,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FnRGNN,german,no,yes,regression (released task),GCN,30,logs/best_configs (regression target LoanAmount),valid,included_reported_separately,"released for node regression, no training loop: on classification (1b) loss BCE, on its own regression task (1c) loss MSE; both with training-node mask, mmd_sample and H set by the harness; reported on its own"
FnRGNN,income,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FnRGNN,nba,no,no,,,0,logs/best_configs,not_established,invalid_evaluation_split,common split: the validation set is contained in the test set
FnRGNN,pokec_n,no,yes,regression (released task),GCN,30,logs/best_configs (regression target completion_percentage),valid,included_reported_separately,"released for node regression, no training loop: on classification (1b) loss BCE, on its own regression task (1c) loss MSE; both with training-node mask, mmd_sample and H set by the harness; reported on its own"
FnRGNN,pokec_n_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
FnRGNN,pokec_z,no,yes,regression (released task),GCN,30,logs/best_configs (regression target completion_percentage),valid,included_reported_separately,"released for node regression, no training loop: on classification (1b) loss BCE, on its own regression task (1c) loss MSE; both with training-node mask, mmd_sample and H set by the harness; reported on its own"
FnRGNN,pokec_z_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
GEAR,bail,yes,yes,default,SAGE,30,parser defaults + released augmentation assets,valid,,released counterfactuals are attribute flips; published generator not reproducible
GEAR,credit,no,no,,,0,released assets,not_established,unsupported_released_configuration,released credit assets are on a different graph (3% edge overlap)
GEAR,german,no,no,,,0,loader only,not_established,required_artifact_unavailable,no released assets; generator checkpoints absent
GEAR,income,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
GEAR,nba,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
GEAR,pokec_n,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
GEAR,pokec_n_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
GEAR,pokec_z,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
GEAR,pokec_z_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
NIFTY,bail,yes,yes,default,GCN,30,utils/param.json,valid,,upstream states german only
NIFTY,credit,yes,yes,default,GCN,30,utils/param.json,valid,,upstream states german only
NIFTY,german,yes,yes,default,GCN,30,upstream README,valid,,
NIFTY,income,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
NIFTY,nba,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
NIFTY,pokec_n,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
NIFTY,pokec_n_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
NIFTY,pokec_z,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
NIFTY,pokec_z_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
SFG,bail,yes,yes,default,SAGE,30,run.sh ablation ladder (SAGE),valid,,off-state is the authors' own unconstrained row; the native test-reading branch is unreachable at the published horizon
SFG,credit,yes,yes,default,SAGE,30,"run.sh ablation ladder (SAGE, sfg_credit.py)",valid,,off-state is the authors' own unconstrained row; the native test-reading branch is unreachable at the published horizon
SFG,german,yes,yes,default,SAGE,30,run.sh ablation ladder (SAGE),valid,,off-state is the authors' own unconstrained row; the native test-reading branch is unreachable at the published horizon
SFG,income,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
SFG,nba,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
SFG,pokec_n,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
SFG,pokec_n_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
SFG,pokec_z,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
SFG,pokec_z_g,no,no,,,0,,not_established,unsupported_released_configuration,not configured by the released code
